code,date,datetime_base,score_base,vol_ratio_20_base,vol_ratio_slot_base,datetime_best,score_best,vol_ratio_20_best,vol_ratio_slot_best,entry_state,shift_minutes_best_minus_base
660,2026-01-23,2026-01-23 12:06:00,1.9436565382965336,9.167305390252936,8.285180572851806,2026-01-23 12:06:00,1.9436565382965336,9.167305390252936,8.285180572851806,both,0.0
5930,2026-01-23,2026-01-23 15:03:00,1.3781026919035366,4.292857734511577,4.008041137337018,,,,,base_only,
34730,2026-01-23,2026-01-23 09:20:00,1.7725994935614544,8.306557297480948,5.086387953239549,,,,,base_only,
35420,2026-01-23,2026-01-23 09:52:00,1.5918747627691134,3.0404181361479714,8.726478298863967,,,,,base_only,
196170,2026-01-23,2026-01-23 10:34:00,1.4020883581040469,3.723467651268945,3.856779229594434,,,,,base_only,
3670,2026-01-26,2026-01-26 10:33:00,1.2881151843866498,3.133807009883697,3.820161290322581,2026-01-26 12:41:00,2.401482286599101,12.981702653409425,20.21838729383018,both,128.0
35720,2026-01-26,2026-01-26 10:51:00,1.677316926697454,4.616060200802411,7.701927480121561,,,,,base_only,
86520,2026-01-26,2026-01-26 12:54:00,1.9635175234580688,4.040612478152782,14.75593812172642,2026-01-26 12:54:00,1.9635175234580688,4.040612478152782,14.75593812172642,both,0.0
96770,2026-01-26,2026-01-26 15:15:00,1.4074119394022733,4.982104509663564,3.6198581560283687,,,,,base_only,
247540,2026-01-26,2026-01-26 10:28:00,2.21795504164444,3.8084073855012153,33.73394350639104,2026-01-26 10:28:00,2.21795504164444,3.8084073855012153,33.73394350639104,both,0.0
660,2026-01-27,2026-01-27 12:38:00,1.7525872733240329,4.17911899522171,10.245618218671757,,,,,base_only,
6400,2026-01-27,2026-01-27 12:44:00,1.227133979363254,3.4672864203341964,3.0882507074730112,,,,,base_only,
17670,2026-01-27,2026-01-27 09:50:00,1.531622373104636,3.623133407461858,5.845020977823443,,,,,base_only,
35720,2026-01-27,2026-01-27 13:52:00,1.3568873416183775,4.218458710778521,3.785341794420709,,,,,base_only,
86520,2026-01-27,2026-01-27 10:13:00,1.6675430704624323,3.0108704528314574,6.825749016511713,,,,,base_only,
96770,2026-01-27,2026-01-27 15:16:00,1.17746100021809,3.19186924872957,3.169667212220404,,,,,base_only,
660,2026-01-28,2026-01-28 09:53:00,2.0029535818190847,6.28156507630766,11.340798245360885,2026-01-28 09:53:00,2.0029535818190847,6.28156507630766,11.340798245360885,both,0.0
5490,2026-01-28,2026-01-28 13:15:00,2.148804216749337,8.327138874991066,14.944202154951256,2026-01-28 13:15:00,2.148804216749337,8.327138874991066,14.944202154951256,both,0.0
35420,2026-01-28,2026-01-28 12:15:00,1.556862363442688,3.2625990107571514,6.701122477976698,,,,,base_only,
35720,2026-01-28,2026-01-28 09:29:00,1.377122674507712,3.179453116351157,4.351138429573197,,,,,base_only,
68270,2026-01-28,2026-01-28 10:46:00,1.809083222946348,4.574420098689156,9.39950567351983,2026-01-28 10:46:00,1.809083222946348,4.574420098689156,9.39950567351983,both,0.0
5380,2026-01-29,2026-01-29 09:18:00,1.7266146696024196,4.396718739874551,5.289005873985117,,,,,base_only,
5490,2026-01-29,2026-01-29 14:23:00,1.8733983409538555,8.461565375599175,7.88471570161711,2026-01-29 14:23:00,1.8733983409538555,8.461565375599175,7.88471570161711,both,0.0
12330,2026-01-29,2026-01-29 09:17:00,1.420178560544003,4.051256408811764,4.874106937082277,,,,,base_only,
35420,2026-01-29,2026-01-29 11:43:00,1.2451088204044527,3.1723532210254093,3.3196323717130456,2026-01-29 13:03:00,2.034877371773572,6.796990974175243,14.255162629394148,both,80.0
660,2026-01-30,2026-01-30 13:09:00,1.532342449968403,4.319340138275671,5.58072563190139,,,,,base_only,
6400,2026-01-30,2026-01-30 14:50:00,2.0063507898672293,5.104155569286714,12.20467359554378,2026-01-30 14:50:00,2.0063507898672293,5.104155569286714,12.20467359554378,both,0.0
68760,2026-01-30,2026-01-30 09:53:00,1.2966949909897176,3.1336985490079954,3.5151968111609366,,,,,base_only,
247540,2026-01-30,2026-01-30 15:09:00,1.6611617448345566,5.0063318433536175,6.389432485322897,,,,,base_only,
3550,2026-02-03,2026-02-03 15:16:00,1.2904632240392078,3.360149236329719,3.4891041162227605,,,,,base_only,
5380,2026-02-03,2026-02-03 12:06:00,1.7251457902903442,7.060825294748124,6.281525625744934,,,,,base_only,
51910,2026-02-03,2026-02-03 14:51:00,1.5384597888051754,5.456958036158567,4.737357447298698,,,,,base_only,
68270,2026-02-03,2026-02-03 14:53:00,1.5516467022723055,6.949685534591196,3.773767768137345,,,,,base_only,
373220,2026-02-03,2026-02-03 10:31:00,1.2630341992054492,3.848013501801761,3.1581311769991016,,,,,base_only,
3670,2026-02-04,2026-02-04 11:08:00,1.3341430971285386,3.879667564087557,3.4774215208997816,,,,,base_only,
55550,2026-02-04,2026-02-04 12:16:00,1.3097731249804252,3.164651162790697,4.222939424031777,,,,,base_only,
68270,2026-02-04,2026-02-04 11:05:00,1.8485244611215408,12.406836242243912,5.420074820873756,2026-02-04 11:05:00,1.8485244611215408,12.406836242243912,5.420074820873756,both,0.0
5490,2026-02-05,2026-02-05 10:10:00,2.0031561548851,7.268918027983298,10.896512342967585,2026-02-05 10:10:00,2.0031561548851,7.268918027983298,10.896512342967585,both,0.0
6400,2026-02-05,2026-02-05 10:13:00,1.6218520165007917,4.536844139945448,6.042679787173179,,,,,base_only,
35420,2026-02-05,2026-02-05 12:54:00,1.5923247806042122,4.41622269029034,6.755749305029062,,,,,base_only,
35720,2026-02-05,2026-02-05 09:32:00,1.212280485011661,3.0750926310145896,3.079129283718194,,,,,base_only,
55550,2026-02-05,2026-02-05 11:18:00,1.319504802247359,3.0419168641591185,4.25867122618466,,,,,base_only,
9150,2026-02-06,2026-02-06 14:00:00,1.2945062052625025,3.082503219701948,3.854851433079148,,,,,base_only,
28260,2026-02-06,2026-02-06 14:40:00,1.5727455422615169,5.656838591750775,5.609141055949567,,,,,base_only,
6400,2026-02-09,2026-02-09 14:59:00,1.202039755952102,3.454688731284476,3.2003114658360907,,,,,base_only,
35720,2026-02-09,2026-02-09 10:05:00,1.7481878364667405,8.680534638554217,5.828719504487423,,,,,base_only,
55550,2026-02-09,2026-02-09 11:08:00,1.3050843870553528,3.6846863135056953,3.724998694448796,,,,,base_only,
66570,2026-02-09,2026-02-09 10:08:00,1.781333889881732,6.360643104837297,7.432465618860511,,,,,base_only,
86520,2026-02-09,2026-02-09 14:47:00,1.6846348542670435,4.4070458365094085,7.14113515283193,,,,,base_only,
196170,2026-02-09,2026-02-09 14:51:00,1.3130925833251172,4.07459807073955,3.4539904055822066,,,,,base_only,
247540,2026-02-09,2026-02-09 14:53:00,1.3563596976140289,4.046972911629743,3.0481641147614096,,,,,base_only,
3670,2026-02-10,2026-02-10 09:27:00,1.5799900159123508,3.518336273326525,5.359203529811065,,,,,base_only,
51910,2026-02-10,2026-02-10 13:24:00,1.9124406210780789,9.195819679390668,7.553470100392842,2026-02-10 13:24:00,1.9124406210780789,9.195819679390668,7.553470100392842,both,0.0
66570,2026-02-10,2026-02-10 11:10:00,1.4638642960425878,3.602624230758804,5.873850777934936,,,,,base_only,
270,2026-02-11,2026-02-11 12:52:00,1.8044705417913929,9.750176553672317,6.746686213426181,2026-02-11 12:52:00,1.8044705417913929,9.750176553672317,6.746686213426181,both,0.0
660,2026-02-11,2026-02-11 12:57:00,1.3171648799057107,4.264324906006297,3.584606450460109,,,,,base_only,
5380,2026-02-11,2026-02-11 09:55:00,1.7372271251991016,3.988121769928562,9.532104808522892,2026-02-11 09:57:00,1.9430616474053464,4.379169315734037,14.240002468526288,both,2.0
35420,2026-02-11,2026-02-11 13:24:00,1.2713320440803482,3.413118889940082,3.4391483952971083,,,,,base_only,
55550,2026-02-11,2026-02-11 11:33:00,1.8151295457308216,3.993706943815403,12.99364045292384,2026-02-11 11:33:00,1.8151295457308216,3.993706943815403,12.99364045292384,both,0.0
66570,2026-02-11,2026-02-11 09:33:00,2.086080487598368,3.5407107122551684,25.35292693262304,2026-02-11 09:33:00,2.086080487598368,3.5407107122551684,25.35292693262304,both,0.0
3670,2026-02-12,2026-02-12 10:30:00,1.2926095811635498,3.406778738915184,3.310075060788667,,,,,base_only,
5490,2026-02-12,2026-02-12 10:27:00,2.3195330571203603,5.047288492058372,35.70463672873312,2026-02-12 10:27:00,2.3195330571203603,5.047288492058372,35.70463672873312,both,0.0
6400,2026-02-12,2026-02-12 10:27:00,1.2934868614991617,3.774092018248046,3.5031512605042017,,,,,base_only,
55550,2026-02-12,2026-02-12 10:43:00,1.6304921729745927,3.924309991563216,7.854226972463445,,,,,base_only,
86520,2026-02-12,2026-02-12 10:32:00,1.3164456770842727,4.052988593667258,3.216248665955176,,,,,base_only,
105560,2026-02-12,2026-02-12 15:16:00,1.2389232181139611,3.295553942642324,3.5068124207858045,,,,,base_only,
660,2026-02-13,2026-02-13 13:30:00,1.344881642501264,3.439794227264888,4.174098205510865,,,,,base_only,
270,2026-02-19,2026-02-19 13:03:00,1.629441831753214,5.714914129657802,6.586952847726888,2026-02-19 13:08:00,2.445937879890523,7.892246086639971,32.812328013208585,both,5.0
5380,2026-02-19,2026-02-19 13:02:00,2.0604941457832058,7.491095819357516,14.243868761917286,2026-02-19 13:02:00,2.0604941457832058,7.491095819357516,14.243868761917286,both,0.0
