code,date,datetime_base,score_base,vol_ratio_20_base,vol_ratio_slot_base,datetime_best,score_best,vol_ratio_20_best,vol_ratio_slot_best,entry_state,shift_minutes_best_minus_base,chart_file,chart_exists_in_base_charts
35720,2026-01-27,2026-01-27 13:52:00,1.3568873416183775,4.218458710778521,3.785341794420709,,,,,base_only,,charts/035720_20260127_1352.png,False
247540,2026-02-09,2026-02-09 14:53:00,1.3563596976140289,4.046972911629743,3.0481641147614096,,,,,base_only,,charts/247540_20260209_1453.png,False
660,2026-02-13,2026-02-13 13:30:00,1.344881642501264,3.439794227264888,4.174098205510865,,,,,base_only,,charts/000660_20260213_1330.png,False
35720,2026-02-20,2026-02-20 09:53:00,1.3447670096160715,3.167294213606229,4.223686540358687,,,,,base_only,,charts/035720_20260220_0953.png,False
55550,2026-02-19,2026-02-19 14:42:00,1.3422991116291392,3.2311049480258416,4.385212418300654,,,,,base_only,,charts/055550_20260219_1442.png,False
3670,2026-02-04,2026-02-04 11:08:00,1.3341430971285386,3.879667564087557,3.4774215208997816,,,,,base_only,,charts/003670_20260204_1108.png,False
660,2026-02-26,2026-02-26 12:27:00,1.3311709441125386,4.603170003766915,3.300232674090078,,,,,base_only,,charts/000660_20260226_1227.png,False
55550,2026-02-05,2026-02-05 11:18:00,1.319504802247359,3.0419168641591185,4.25867122618466,,,,,base_only,,charts/055550_20260205_1118.png,False
660,2026-02-11,2026-02-11 12:57:00,1.3171648799057107,4.264324906006297,3.584606450460109,,,,,base_only,,charts/000660_20260211_1257.png,False
86520,2026-02-12,2026-02-12 10:32:00,1.3164456770842727,4.052988593667258,3.216248665955176,,,,,base_only,,charts/086520_20260212_1032.png,False
196170,2026-02-09,2026-02-09 14:51:00,1.3130925833251172,4.07459807073955,3.4539904055822066,,,,,base_only,,charts/196170_20260209_1451.png,False
55550,2026-02-04,2026-02-04 12:16:00,1.3097731249804252,3.164651162790697,4.222939424031777,,,,,base_only,,charts/055550_20260204_1216.png,False
55550,2026-02-09,2026-02-09 11:08:00,1.3050843870553528,3.6846863135056953,3.724998694448796,,,,,base_only,,charts/055550_20260209_1108.png,False
68760,2026-01-30,2026-01-30 09:53:00,1.2966949909897176,3.1336985490079954,3.5151968111609366,,,,,base_only,,charts/068760_20260130_0953.png,False
9150,2026-02-06,2026-02-06 14:00:00,1.2945062052625025,3.082503219701948,3.854851433079148,,,,,base_only,,charts/009150_20260206_1400.png,False
6400,2026-02-12,2026-02-12 10:27:00,1.2934868614991617,3.774092018248046,3.5031512605042017,,,,,base_only,,charts/006400_20260212_1027.png,False
3670,2026-02-12,2026-02-12 10:30:00,1.2926095811635498,3.406778738915184,3.310075060788667,,,,,base_only,,charts/003670_20260212_1030.png,False
3550,2026-02-03,2026-02-03 15:16:00,1.2904632240392078,3.360149236329719,3.4891041162227605,,,,,base_only,,charts/003550_20260203_1516.png,False
35420,2026-02-11,2026-02-11 13:24:00,1.2713320440803482,3.413118889940082,3.4391483952971083,,,,,base_only,,charts/035420_20260211_1324.png,False
373220,2026-02-03,2026-02-03 10:31:00,1.2630341992054492,3.848013501801761,3.1581311769991016,,,,,base_only,,charts/373220_20260203_1031.png,False
105560,2026-02-12,2026-02-12 15:16:00,1.2389232181139611,3.295553942642324,3.5068124207858045,,,,,base_only,,charts/105560_20260212_1516.png,False
6400,2026-01-27,2026-01-27 12:44:00,1.227133979363254,3.4672864203341964,3.0882507074730112,,,,,base_only,,charts/006400_20260127_1244.png,False
66570,2026-02-24,2026-02-24 12:51:00,1.2239502243286775,3.1346665353167174,3.076417356330729,,,,,base_only,,charts/066570_20260224_1251.png,False
35720,2026-02-05,2026-02-05 09:32:00,1.212280485011661,3.0750926310145896,3.079129283718194,,,,,base_only,,charts/035720_20260205_0932.png,False
6400,2026-02-09,2026-02-09 14:59:00,1.202039755952102,3.454688731284476,3.2003114658360907,,,,,base_only,,charts/006400_20260209_1459.png,False
96770,2026-01-27,2026-01-27 15:16:00,1.17746100021809,3.19186924872957,3.169667212220404,,,,,base_only,,charts/096770_20260127_1516.png,False
