candidates_all,candidates_top,entries_first,mean_15m,mean_30m,mean_5m,median_15m,median_30m,median_5m,n_15m,n_30m,n_5m,scenario,status,win_15m,win_30m,win_5m
143,143,93,0.0993428244602816,0.19700855246397347,0.07117185338022994,0.0,-0.07906693417889515,0.0,88,82,90,base,ok,44.31818181818182,43.90243902439025,45.55555555555556
134,134,87,0.09134413706062247,0.19700855246397347,0.07670951862411655,0.0,-0.07906693417889515,0.0,87,82,87,close_1500,ok,43.67816091954023,43.90243902439025,45.97701149425287
121,121,77,0.0608548046582916,0.15214204407060367,0.11588174456451329,-0.0865800865800903,-0.1555209953343683,0.0,77,77,77,close_1430,ok,40.25974025974026,41.55844155844156,48.05194805194805
137,137,90,0.10202153785644717,0.20066552655866882,0.07540412733844395,0.0,-0.0589275191514415,0.0,86,81,88,ret_0p1,ok,44.18604651162791,44.44444444444444,46.590909090909086
115,115,76,0.12061594824209872,0.22721237300189082,0.08358494645343394,0.0,0.0,0.10928961748633,73,69,75,ret_0p2,ok,45.20547945205479,47.82608695652174,50.66666666666667
119,119,81,0.07058081189873969,0.18302119338610837,0.04261011907200546,-0.09122868183271124,-0.1665268737450431,0.0,78,74,80,range_0p7,ok,41.02564102564102,43.24324324324324,43.75
58,58,41,0.21895302047799994,0.5039493969114252,0.05884743442738204,-0.1241464928615765,0.0848059680709223,-0.07775492010833046,39,36,40,spike4,ok,46.15384615384615,52.77777777777778,37.5
118,118,81,0.11412493520786124,0.2076459440305177,0.06319563268090633,-0.07021519137835885,-0.16006502441615605,0.0,78,74,80,wick_body_strict,ok,42.30769230769231,44.5945945945946,45.0
93,93,62,0.20085146829854356,0.37247752778811793,0.10758813128547733,0.0,-0.0589275191514415,0.0,61,59,62,score_1p5,ok,49.18032786885246,45.76271186440678,48.38709677419355
43,43,31,0.40986294758612773,0.7550819087143282,0.24599238592115047,0.1072961373390635,0.100401606425704,0.0,31,31,31,score_1p8,ok,54.83870967741935,51.61290322580645,48.38709677419355
41,41,28,0.3603500138547053,0.6368414522322909,0.20675507106171773,0.05869970042911565,0.0575043128234531,-0.0310366232153969,28,27,28,combo_balanced,ok,50.0,51.85185185185185,46.42857142857143
17,17,12,0.7400552077628241,1.2464491845932446,0.4520027407985925,0.9681097270437644,0.7536949949613736,0.34347399411187585,12,12,12,combo_strict,ok,66.66666666666666,66.66666666666666,50.0
25,25,18,0.3618374016837906,0.8175478444696078,0.24662368277107868,0.014646508607130147,0.34954504120983104,0.0586854460093877,18,18,18,combo_momentum,ok,50.0,55.55555555555556,50.0
