code,datetime,open,high,low,close,volume,value,date,minute_of_day,prev_close,ret_1m,range_pos,upper_shadow_ratio,body_ratio,vol_ma20,value_ma20,vol_slot_ma5,value_slot_ma5,vol_ratio_20,vol_ratio_slot,spike_hit,spike_hits_5m,score,fwd_ret_5m_pct,fwd_ret_15m_pct,fwd_ret_30m_pct
003670,2026-01-26 12:41:00,226500.0,228500.0,226500.0,228000.0,22065,145339996000,2026-01-26,761,227000.0,0.004405286343612369,0.75,0.25,0.75,1699.7,136283617337.5,1091.3333333333333,124906366216.66667,12.981702653409425,20.21838729383018,1,3.0,2.401482286599101,0.0,-0.21929824561403022,-0.43859649122807154
086520,2026-01-26 12:55:00,127500.0,128200.0,127400.0,128200.0,94509,1188266643100,2026-01-26,775,127500.0,0.005490196078431264,1.0,0.0,0.875,25747.25,1134926048160.0,4373.25,305368894937.5,3.6706444377554885,21.610701423426512,1,3.0,2.0750974000979205,0.6240249609984483,-0.07800312012480326,-0.23400936037440978
000660,2026-01-28 09:53:00,825000.0,832000.0,824000.0,832000.0,78594,1227282197500,2026-01-28,593,825000.0,0.00848484848484854,1.0,0.0,0.875,12511.85,1037802840400.0,6930.2,807493737700.0,6.28156507630766,11.340798245360885,1,4.0,2.0029535818190847,0.0,1.2019230769230838,0.9615384615384581
005490,2026-01-28 13:15:00,368750.0,370500.0,368750.0,370500.0,23301,190646807500,2026-01-28,795,368750.0,0.004745762711864332,1.0,0.0,1.0,2798.2,170742159400.0,1559.2,297860367350.0,8.327138874991066,14.944202154951256,1,3.0,2.148804216749337,0.809716599190291,1.4844804318488558,0.26990553306343035
035420,2026-01-29 13:03:00,286500.0,288000.0,286000.0,287500.0,54258,506780453250,2026-01-29,783,286500.0,0.003490401396160525,0.75,0.25,0.5,7982.65,459539748850.0,3806.2,681368410300.0,6.796990974175243,14.255162629394148,1,4.0,2.0348773717735718,-0.17391304347825765,-0.17391304347825765,-0.260869565217392
035420,2026-01-29 13:04:00,287500.0,290000.0,287500.0,289500.0,81057,530202116750,2026-01-29,784,287500.0,0.006956521739130528,0.8,0.2,0.8,10570.05,462554822212.5,5310.2,682827260000.0,7.668554074957073,15.264396821212008,1,4.0,2.1552838409686395,-0.8635578583765069,-1.0362694300518172,-0.8635578583765069
006400,2026-01-30 14:50:00,384000.0,389500.0,382500.0,387500.0,35933,389266772000,2026-01-30,890,383000.0,0.011749347258485532,0.7142857142857143,0.2857142857142857,0.5,7039.95,336330475412.5,2944.2,730126106550.0,5.104155569286714,12.204673595543781,1,3.0,2.0063507898672293,-1.677419354838705,-1.4193548387096744,0.6451612903225712
005490,2026-02-05 10:10:00,377500.0,379500.0,377000.0,379500.0,24807,181404707250,2026-02-05,610,377000.0,0.006631299734747964,1.0,0.0,0.8,3412.75,158081369112.5,2276.6,98648332750.0,7.268918027983298,10.896512342967585,1,3.0,2.0031561548851,0.39525691699604515,-0.988142292490124,-0.6587615283267456
005490,2026-02-05 10:13:00,380000.0,382000.0,379500.0,381500.0,26070,202766378750,2026-02-05,613,380000.0,0.003947368421052699,0.8,0.2,0.6,5617.6,163660524937.5,1393.4,100533061150.0,4.640771859868983,18.709631118128318,1,4.0,2.0462161775570475,-0.7863695937090465,-1.3106159895150737,-1.7038007863695914
066570,2026-02-11 09:33:00,111000.0,111500.0,109900.0,111300.0,83761,118211430750,2026-02-11,573,111000.0,0.002702702702702675,0.875,0.125,0.1875,23656.55,76529432820.0,3303.8,20032536860.0,3.5407107122551684,25.35292693262304,1,3.0,2.086080487598368,-0.4492362982928988,-1.2578616352201255,-0.5390835579514808
066570,2026-02-11 10:30:00,115000.0,117000.0,114900.0,116900.0,136302,297197358100,2026-02-11,630,115000.0,0.016521739130434865,0.9523809523809523,0.047619047619047616,0.9047619047619048,40236.9,224693006755.0,1873.0,41319238100.0,3.3874876046613926,72.77202349172451,1,3.0,2.748450810265247,1.1976047904191711,2.138579982891353,1.283147989734812
196170,2026-02-19 10:01:00,399500.0,402000.0,399500.0,402000.0,11899,87687355000,2026-02-19,601,399750.0,0.0056285178236397115,1.0,0.0,1.0,1176.3,77579303225.0,1077.8,39079163600.0,10.115616764430843,11.040081647801077,1,3.0,2.0970591792499857,0.4975124378109541,0.746268656716409,1.1194029850746245
