code,datetime,open,high,low,close,volume,value,date,minute_of_day,prev_close,ret_1m,range_pos,upper_shadow_ratio,body_ratio,vol_ma20,value_ma20,vol_slot_ma5,value_slot_ma5,vol_ratio_20,vol_ratio_slot,spike_hit,spike_hits_5m,score,fwd_ret_5m_pct,fwd_ret_15m_pct,fwd_ret_30m_pct,rank_at_minute
000270,2026-02-19 13:08:00,169700.0,170500.0,169700.0,170400.0,35772,147431413950,2026-02-19,788,169800.0,0.0035335689045936647,0.875,0.125,0.875,4532.55,131041249472.5,1090.2,130195964150.0,7.892246086639971,32.812328013208585,1,3.0,2.445937879890523,0.11737089201877549,-0.11737089201877549,-0.23474178403756207,1
000660,2026-01-28 09:53:00,825000.0,832000.0,824000.0,832000.0,78594,1227282197500,2026-01-28,593,825000.0,0.00848484848484854,1.0,0.0,0.875,12511.85,1037802840400.0,6930.2,807493737700.0,6.28156507630766,11.340798245360885,1,4.0,2.0029535818190847,0.0,1.2019230769230838,0.9615384615384581,1
000660,2026-02-20 10:37:00,906000.0,917000.0,906000.0,916000.0,101872,927441723500,2026-02-20,637,907000.0,0.009922822491730932,0.9090909090909091,0.09090909090909091,0.9090909090909091,15137.55,636129678275.0,8915.4,1263812441600.0,6.729754815012998,11.426520402898356,1,5.0,2.043998701961888,-0.4366812227074246,0.3275109170305601,0.5458515283842891,1
003670,2026-01-26 12:41:00,226500.0,228500.0,226500.0,228000.0,22065,145339996000,2026-01-26,761,227000.0,0.004405286343612369,0.75,0.25,0.75,1699.7,136283617337.5,1091.3333333333333,124906366216.66667,12.981702653409425,20.21838729383018,1,3.0,2.401482286599101,0.0,-0.21929824561403022,-0.43859649122807154,1
005380,2026-02-19 13:02:00,508000.0,510000.0,507000.0,509500.0,43327,448447200250,2026-02-19,782,508000.0,0.0029527559055118058,0.8333333333333334,0.16666666666666666,0.5,5783.8,389703580750.0,3041.8,605419506750.0,7.491095819357516,14.243868761917286,1,4.0,2.0604941457832058,0.6869479882237517,1.8645731108930308,1.3738959764475034,1
005380,2026-02-27 11:51:00,616000.0,625000.0,615000.0,623000.0,55127,676282658000,2026-02-27,711,615500.0,0.012185215272136452,0.8,0.2,0.7,6881.75,588638632500.0,1368.2,476863164950.0,8.010607766919751,40.29162403157433,1,4.0,2.6665159646516363,2.1669341894061,3.370786516853941,4.3338683788122,1
005490,2026-01-28 13:15:00,368750.0,370500.0,368750.0,370500.0,23301,190646807500,2026-01-28,795,368750.0,0.004745762711864332,1.0,0.0,1.0,2798.2,170742159400.0,1559.2,297860367350.0,8.327138874991066,14.944202154951256,1,3.0,2.148804216749337,0.809716599190291,1.4844804318488558,0.26990553306343035,1
005490,2026-02-05 10:10:00,377500.0,379500.0,377000.0,379500.0,24807,181404707250,2026-02-05,610,377000.0,0.006631299734747964,1.0,0.0,0.8,3412.75,158081369112.5,2276.6,98648332750.0,7.268918027983298,10.896512342967585,1,3.0,2.0031561548851,0.39525691699604515,-0.988142292490124,-0.6587615283267456,1
006400,2026-01-30 14:50:00,384000.0,389500.0,382500.0,387500.0,35933,389266772000,2026-01-30,890,383000.0,0.011749347258485532,0.7142857142857143,0.2857142857142857,0.5,7039.95,336330475412.5,2944.2,730126106550.0,5.104155569286714,12.204673595543781,1,3.0,2.0063507898672293,-1.677419354838705,-1.4193548387096744,0.6451612903225712,1
006400,2026-02-25 13:15:00,428500.0,431000.0,428500.0,430750.0,27778,247697207250,2026-02-25,795,428500.0,0.0052508751458575365,0.9,0.1,0.9,2710.2,217868022625.0,1748.6,194276444800.0,10.249428086488082,15.885851538373556,1,4.0,2.2427884167945935,2.031340684852001,2.031340684852001,2.147417295414966,1
006400,2026-02-27 13:47:00,464000.0,466000.0,463000.0,466000.0,27289,356939912250,2026-02-27,827,464000.0,0.004310344827586299,1.0,0.0,0.6666666666666666,2062.45,335436075350.0,1791.0,297247221400.0,13.231351063056076,15.236739251814628,1,3.0,2.2983361840303953,-0.2682403433476366,0.10729613733906351,0.42918454935623185,1
035420,2026-01-29 13:03:00,286500.0,288000.0,286000.0,287500.0,54258,506780453250,2026-01-29,783,286500.0,0.003490401396160525,0.75,0.25,0.5,7982.65,459539748850.0,3806.2,681368410300.0,6.796990974175243,14.255162629394148,1,4.0,2.0348773717735718,-0.17391304347825765,-0.17391304347825765,-0.260869565217392,1
