code,datetime,open,high,low,close,volume,value,date,minute_of_day,prev_close,ret_1m,range_pos,upper_shadow_ratio,body_ratio,vol_ma20,value_ma20,vol_slot_ma5,value_slot_ma5,vol_ratio_20,vol_ratio_slot,spike_hit,spike_hits_5m,score,fwd_ret_5m_pct,fwd_ret_15m_pct,fwd_ret_30m_pct,rank_at_minute
005380,2026-01-29 09:18:00,512000.0,522000.0,511000.0,521000.0,109310,280778520500,2026-01-29,558,512000.0,0.017578125,0.9090909090909091,0.09090909090909091,0.8181818181818182,24861.722222222223,104607423208.33333,20667.4,394243849300.0,4.396718739874551,5.289005873985117,1,3.0,1.7266146696024196,0.5758157389635254,-2.111324376199619,-2.207293666026866,1
005380,2026-02-03 12:06:00,489500.0,492000.0,489500.0,491500.0,26351,696106875000,2026-02-03,726,489500.0,0.004085801838610736,0.8,0.2,0.8,3732.0,659761605525.0,4195.0,1101912118800.0,7.060825294748124,6.281525625744934,1,3.0,1.7251457902903442,0.20345879959309254,-0.20345879959308144,0.20345879959309254,1
005380,2026-02-11 09:55:00,490500.0,494500.0,490000.0,493500.0,33105,233785243250,2026-02-11,595,491000.0,0.005091649694501044,0.7777777777777778,0.2222222222222222,0.6666666666666666,8300.9,169355463737.5,3473.0,334158308600.0,3.9881217699285623,9.532104808522892,1,4.0,1.7372271251991016,1.2158054711246091,1.9250253292806496,1.1144883485308954,1
005380,2026-02-19 13:02:00,508000.0,510000.0,507000.0,509500.0,43327,448447200250,2026-02-19,782,508000.0,0.0029527559055118058,0.8333333333333334,0.16666666666666666,0.5,5783.8,389703580750.0,3041.8,605419506750.0,7.491095819357516,14.243868761917286,1,4.0,2.0604941457832058,0.6869479882237517,1.8645731108930308,1.3738959764475034,1
005380,2026-02-26 11:15:00,576000.0,578000.0,575500.0,577500.0,12900,526792382000,2026-02-26,675,576000.0,0.0026041666666667407,0.8,0.2,0.6,2545.0,501516724625.0,3174.6,428961600200.0,5.068762278978389,4.063504063504063,1,3.0,1.4400930725632952,-0.08658008658009031,-0.08658008658009031,-0.2597402597402598,1
005380,2026-02-27 11:51:00,616000.0,625000.0,615000.0,623000.0,55127,676282658000,2026-02-27,711,615500.0,0.012185215272136452,0.8,0.2,0.7,6881.75,588638632500.0,1368.2,476863164950.0,8.010607766919751,40.29162403157433,1,4.0,2.6665159646516363,2.1669341894061,3.370786516853941,4.3338683788122,1
005490,2026-01-28 13:15:00,368750.0,370500.0,368750.0,370500.0,23301,190646807500,2026-01-28,795,368750.0,0.004745762711864332,1.0,0.0,1.0,2798.2,170742159400.0,1559.2,297860367350.0,8.327138874991066,14.944202154951256,1,3.0,2.148804216749337,0.809716599190291,1.4844804318488558,0.26990553306343035,1
005490,2026-01-29 14:23:00,368500.0,370500.0,367000.0,370000.0,12092,284177276000,2026-01-29,863,368500.0,0.004070556309362372,0.8571428571428571,0.14285714285714285,0.42857142857142855,1429.05,272852810962.5,1533.6,348911070250.0,8.461565375599175,7.88471570161711,1,3.0,1.8733983409538555,-0.13513513513513375,-0.40540540540540126,-1.0810810810810811,1
005490,2026-02-05 10:10:00,377500.0,379500.0,377000.0,379500.0,24807,181404707250,2026-02-05,610,377000.0,0.006631299734747964,1.0,0.0,0.8,3412.75,158081369112.5,2276.6,98648332750.0,7.268918027983298,10.896512342967585,1,3.0,2.0031561548851,0.39525691699604515,-0.988142292490124,-0.6587615283267456,1
005930,2026-01-23 15:03:00,150600.0,150900.0,150100.0,150900.0,295410,3401533644700,2026-01-23,903,150700.0,0.0013271400132714994,1.0,0.0,0.375,68814.3,3242489682522.5,73704.33333333333,3785520297550.0,4.292857734511577,4.008041137337018,1,3.0,1.3781026919035366,0.3313452617627499,0.7952286282306265,,1
006400,2026-01-27 12:44:00,382500.0,383000.0,382000.0,383000.0,5893,358890820750,2026-01-27,764,382500.0,0.0013071895424836555,1.0,0.0,0.5,1699.6,348582764687.5,1908.2,732926724750.0,3.4672864203341964,3.0882507074730112,1,4.0,1.227133979363254,0.7180156657963455,1.0443864229765065,1.305483028720622,1
006400,2026-01-30 14:50:00,384000.0,389500.0,382500.0,387500.0,35933,389266772000,2026-01-30,890,383000.0,0.011749347258485532,0.7142857142857143,0.2857142857142857,0.5,7039.95,336330475412.5,2944.2,730126106550.0,5.104155569286714,12.204673595543781,1,3.0,2.0063507898672293,-1.677419354838705,-1.4193548387096744,0.6451612903225712,1
006400,2026-02-05 10:13:00,397000.0,399500.0,396500.0,399500.0,21124,168805204500,2026-02-05,613,397000.0,0.006297229219143663,1.0,0.0,0.8333333333333334,4656.1,136727276250.0,3495.8,184782966300.0,4.5368441399454476,6.042679787173179,1,4.0,1.6218520165007917,-0.5006257822277815,-1.0012515644555742,-1.3767209011264048,2
