code,datetime,score,vol_ratio_20,vol_ratio_slot,chart_path
005380,2026-02-27 11:51:00,2.6665159646516363,8.010607766919751,40.29162403157433,charts/005380_20260227_1151.png
086520,2026-02-25 13:49:00,2.3121890780821603,3.960803148463604,34.24244234675589,charts/086520_20260225_1349.png
006400,2026-02-25 13:15:00,2.2427884167945935,10.249428086488082,15.885851538373556,charts/006400_20260225_1315.png
005380,2026-02-19 13:02:00,2.0604941457832058,7.491095819357516,14.243868761917286,charts/005380_20260219_1302.png
066570,2026-02-19 11:26:00,2.045125391031363,6.6608112322507145,14.564406590959697,charts/066570_20260219_1126.png
035420,2026-01-29 13:03:00,2.0348773717735718,6.796990974175243,14.255162629394148,charts/035420_20260129_1303.png
086520,2026-02-19 10:08:00,2.01055311300622,7.172546093999786,9.588501508548442,charts/086520_20260219_1008.png
000660,2026-01-28 09:53:00,2.0029535818190847,6.28156507630766,11.340798245360885,charts/000660_20260128_0953.png
005380,2026-02-26 14:01:00,1.9725537141396625,3.4340717761405,16.92957572767637,charts/005380_20260226_1401.png
006400,2026-02-19 14:50:00,1.9719215125496143,3.3251990752632934,17.53386222910217,charts/006400_20260219_1450.png
000270,2026-02-11 12:52:00,1.8044705417913927,9.750176553672317,6.746686213426181,charts/000270_20260211_1252.png
086520,2026-02-12 10:35:00,1.7692219140216,4.906807031384828,8.871974323541211,charts/086520_20260212_1035.png
035720,2026-02-09 10:05:00,1.7481878364667403,8.680534638554217,5.828719504487423,charts/035720_20260209_1005.png
005380,2026-02-11 09:55:00,1.7372271251991016,3.9881217699285623,9.532104808522892,charts/005380_20260211_0955.png
005490,2026-02-05 10:12:00,1.7309185565514251,3.8216691944986123,9.802053561977347,charts/005490_20260205_1012.png
196170,2026-02-23 10:15:00,1.6907242879421502,5.662310402558784,6.9852034525277436,charts/196170_20260223_1015.png
086520,2026-02-09 14:47:00,1.6846348542670437,4.4070458365094085,7.14113515283193,charts/086520_20260209_1447.png
086520,2026-01-27 10:13:00,1.6675430704624323,3.0108704528314574,6.825749016511713,charts/086520_20260127_1013.png
003670,2026-02-25 11:34:00,1.6415804443910684,3.023008034094509,9.8758231420508,charts/003670_20260225_1134.png
006400,2026-02-05 10:13:00,1.6218520165007917,4.5368441399454476,6.042679787173179,charts/006400_20260205_1013.png
000660,2026-02-20 10:35:00,1.621186587076362,3.864363345980844,7.908956602031394,charts/000660_20260220_1035.png
035420,2026-02-23 09:26:00,1.6098481939121871,4.468652584431515,6.902857937556498,charts/035420_20260223_0926.png
012330,2026-01-29 09:18:00,1.5784693140330681,3.4849343115509295,5.9265320334261835,charts/012330_20260129_0918.png
005380,2026-02-03 12:07:00,1.566952847438977,4.103044207364122,6.609545906529665,charts/005380_20260203_1207.png
006400,2026-01-27 12:45:00,1.561566484782211,7.468170243724991,3.791820580474934,charts/006400_20260127_1245.png
035420,2026-01-28 12:15:00,1.5568623634426881,3.2625990107571514,6.701122477976698,charts/035420_20260128_1215.png
051910,2026-02-03 14:51:00,1.5384597888051754,5.456958036158567,4.737357447298698,charts/051910_20260203_1451.png
009150,2026-02-24 11:16:00,1.5052278120086529,3.556297823752961,6.174695230204758,charts/009150_20260224_1116.png
